"Jugadores" "Posiciones" "Valores_Mercado" "Nacimiento" "Equipos"
"315" "Abraham Minero" "Lateral izquierdo" 4e+05 1986-02-22 "Gimnástic de Tarragona"
"316" "Iván López" "Lateral derecho" 6e+05 1993-08-23 "Gimnástic de Tarragona"
"317" "Pipa" "Lateral derecho" 3e+05 1998-01-26 "Gimnástic de Tarragona"
"318" "Pol Valentín" "Lateral derecho" 1e+05 1997-02-21 "Gimnástic de Tarragona"
"319" "Salva Ferrer" "Lateral derecho" NA 1998-01-21 "Gimnástic de Tarragona"
"320" "Fali" "Pivote" 8e+05 1993-08-12 "Gimnástic de Tarragona"
"321" "Ousseynou Thioune" "Medio centro" 750000 1993-11-16 "Gimnástic de Tarragona"
"322" "Javi Márquez" "Medio centro" 4e+05 1986-05-11 "Gimnástic de Tarragona"
"323" "Imanol García" "Medio centro" 3e+05 1995-12-26 "Gimnástic de Tarragona"
"324" "Ramiro Guerra" "Medio centro" 2e+05 1997-03-21 "Gimnástic de Tarragona"
"325" "Abdelaziz Barrada" "Medio centro ofensivo" 1200000 1989-06-19 "Gimnástic de Tarragona"
"326" "Nicolao Dumitru" "Extremo izquierdo" 5e+05 1991-10-12 "Gimnástic de Tarragona"
"327" "Sebas Coris" "Extremo derecho" 6e+05 1993-05-31 "Gimnástic de Tarragona"
"328" "Omar Perdomo" "Extremo derecho" 4e+05 1993-07-03 "Gimnástic de Tarragona"
"329" "Ikechukwu Uche" "Delantero centro" 3e+05 1984-01-05 "Gimnástic de Tarragona"
"330" "Luis Javier Suárez" "Delantero centro" 3e+05 1997-12-02 "Gimnástic de Tarragona"
"331" "Berat Sadik" "Delantero centro" 4e+05 1986-09-14 "Gimnástic de Tarragona"
"332" "Rui Silva" "Portero" 7e+05 1994-02-07 "Granada CF"
"333" "Aarón Escandell" "Portero" 3e+05 1995-09-27 "Granada CF"
"334" "Bernardo Cruz" "Defensa central" 8e+05 1993-07-17 "Granada CF"
"335" "José Antonio Martínez" "Defensa central" 5e+05 1993-02-12 "Granada CF"
"336" "Germán Sánchez" "Defensa central" 3e+05 1986-10-31 "Granada CF"
"337" "Álex Martínez" "Lateral izquierdo" 1e+06 1990-08-12 "Granada CF"
"338" "Adrián Castellano" "Lateral izquierdo" 3e+05 1994-06-26 "Granada CF"
"339" "Víctor Díaz" "Lateral derecho" 1200000 1988-06-12 "Granada CF"
"340" "Quini" "Lateral derecho" 5e+05 1989-09-24 "Granada CF"
"341" "Nicolás Aguirre" "Medio centro" 1700000 1990-06-27 "Granada CF"
"342" "Fede San Emeterio" "Medio centro" 1500000 1997-03-16 "Granada CF"
"343" "Ángel Montoro" "Medio centro" 1e+06 1988-06-25 "Granada CF"
"344" "Fran Rico" "Medio centro" 8e+05 1987-08-03 "Granada CF"
"345" "Alberto Martín" "Medio centro" 8e+05 1989-03-31 "Granada CF"
"346" "José Antonio González" "Medio centro" 3e+05 1995-12-20 "Granada CF"
"347" "Alejandro Pozo" "Medio centro ofensivo" 2e+06 1999-02-22 "Granada CF"
"348" "Antonio Puertas" "Medio centro ofensivo" 8e+05 1992-02-21 "Granada CF"
"349" "Fede Vico" "Extremo izquierdo" 7e+05 1994-07-04 "Granada CF"
"350" "Daniel Ojeda" "Extremo izquierdo" 4e+05 1994-12-03 "Granada CF"
"351" "Álvaro Vadillo" "Extremo derecho" 7e+05 1994-09-12 "Granada CF"
"352" "Adrián Ramos" "Delantero centro" 1e+06 1986-01-22 "Granada CF"
"353" "Rodri" "Delantero centro" 8e+05 1990-06-06 "Granada CF"
"354" "Munir" "Portero" 6e+05 1989-05-10 "Málaga CF"
"355" "Pawel Kieszek" "Portero" 6e+05 1984-04-16 "Málaga CF"
"356" "Cenk Gönen" "Portero" 2e+05 1988-02-21 "Málaga CF"
"357" "Luis Hernández" "Defensa central" 2500000 1989-04-14 "Málaga CF"
"358" "Diego González" "Defensa central" 2e+06 1995-01-28 "Málaga CF"
"359" "Pau Torres" "Defensa central" 1500000 1997-01-16 "Málaga CF"
"360" "David Lombán" "Defensa central" 1200000 1987-06-05 "Málaga CF"
"361" "Juankar" "Lateral izquierdo" 1500000 1990-03-30 "Málaga CF"
"362" "Federico Ricca" "Lateral izquierdo" 1500000 1994-12-01 "Málaga CF"
"363" "Miguel Torres" "Lateral derecho" 8e+05 1986-01-28 "Málaga CF"
"364" "Miguel Cifuentes" "Lateral derecho" 5e+05 1990-10-05 "Málaga CF"
"365" "Iván Rodríguez" "Lateral derecho" 4e+05 1996-04-30 "Málaga CF"
"366" "Alfred N'Diaye" "Pivote" 5e+06 1990-03-06 "Málaga CF"
"367" "Mehdi Lacen" "Pivote" 8e+05 1984-05-15 "Málaga CF"
"368" "Erik Morán" "Pivote" 750000 1991-05-25 "Málaga CF"
"369" "Adrián González" "Medio centro" 3e+06 1988-05-25 "Málaga CF"
"370" "Badr Boulahroud" "Medio centro" 6e+05 1993-04-21 "Málaga CF"
"371" "Juanpi Añor" "Medio centro ofensivo" 1500000 1994-01-24 "Málaga CF"
"372" "Dani Pacheco" "Extremo izquierdo" 8e+05 1991-01-05 "Málaga CF"
"373" "Javier Ontiveros" "Extremo derecho" 2500000 1997-09-09 "Málaga CF"
"374" "Renato Santos" "Extremo derecho" 1e+06 1991-10-05 "Málaga CF"
"375" "Álex Mula" "Extremo derecho" 5e+05 1996-07-23 "Málaga CF"
"376" "Gustavo Blanco Leschuk" "Delantero centro" 1e+06 1991-11-05 "Málaga CF"
"377" "Mamadou Koné" "Delantero centro" 9e+05 1991-12-25 "Málaga CF"
"378" "Jack Harper" "Delantero centro" 8e+05 1996-02-28 "Málaga CF"
"379" "Yevhen Seleznov" "Delantero centro" 550000 1985-07-20 "Málaga CF"
"380" "Héctor Hernández" "Delantero centro" 5e+05 1995-09-14 "Málaga CF"
"381" "Manolo Reina" "Portero" 3e+05 1985-04-01 "RCD Mallorca"
"382" "Leandro Montagud" "Portero" 3e+05 1989-02-28 "RCD Mallorca"
"383" "Miquel Parera" "Portero" 1e+05 1996-05-18 "RCD Mallorca"
"384" "Martin Valjent" "Defensa central" 7e+05 1995-12-11 "RCD Mallorca"
"385" "Antonio Raíllo" "Defensa central" 5e+05 1991-10-08 "RCD Mallorca"
"386" "Franco Russo" "Defensa central" 3e+05 1994-10-25 "RCD Mallorca"
"387" "Xisco Campos" "Defensa central" 1e+05 1982-03-10 "RCD Mallorca"
"388" "Pervis Estupiñán" "Lateral izquierdo" 8e+05 1998-01-21 "RCD Mallorca"
"389" "Salva Ruiz" "Lateral izquierdo" 1e+05 1995-05-17 "RCD Mallorca"
"390" "Joan Sastre" "Lateral derecho" 1e+06 1997-04-30 "RCD Mallorca"
"391" "Fran Gámez" "Lateral derecho" 3e+05 1991-07-27 "RCD Mallorca"
"392" "Dani Rodríguez" "Medio centro" 6e+05 1988-06-06 "RCD Mallorca"
"393" "Marc Pedraza" "Medio centro" 4e+05 1987-02-06 "RCD Mallorca"
"394" "Iddrisu Baba" "Medio centro" 250000 1996-01-22 "RCD Mallorca"
"395" "Salva Sevilla" "Medio centro" 2e+05 1984-03-18 "RCD Mallorca"
"396" "Merveil Ndockyt" "Medio centro ofensivo" 1e+06 1998-07-20 "RCD Mallorca"
"397" "Stoichkov" "Medio centro ofensivo" 3e+05 1993-11-05 "RCD Mallorca"
"398" "Lago Júnior" "Extremo izquierdo" 5e+05 1990-12-31 "RCD Mallorca"
"399" "Pablo Valcarce" "Extremo derecho" 8e+05 1993-02-03 "RCD Mallorca"
"400" "Ariday Cabrera" "Extremo derecho" 4e+05 1988-09-26 "RCD Mallorca"
"401" "Ante Budimir" "Delantero centro" 1400000 1991-07-22 "RCD Mallorca"
"402" "Abdón Prats" "Delantero centro" 5e+05 1992-12-07 "RCD Mallorca"
"403" "Álex López" "Delantero centro" 4e+05 1993-09-18 "RCD Mallorca"
"404" "Sergio Buenacasa" "Delantero centro" 3e+05 1996-04-19 "RCD Mallorca"
"405" "Nikola Stojiljkovic" "Delantero centro" 1e+06 1992-08-17 "RCD Mallorca"
"406" "Alfonso Herrero" "Portero" 3e+05 1994-04-21 "Real Oviedo"
"407" "Nereo Champagne" "Portero" 3e+05 1985-01-20 "Real Oviedo"
"408" "Oswaldo Alanís" "Defensa central" 2e+06 1989-03-18 "Real Oviedo"
"409" "Juan Forlín" "Defensa central" 1e+06 1988-01-10 "Real Oviedo"
"410" "Carlos Hernández" "Defensa central" 8e+05 1990-09-15 "Real Oviedo"
"411" "Christian Fernández" "Defensa central" 5e+05 1985-10-15 "Real Oviedo"
"412" "Mossa" "Lateral izquierdo" 6e+05 1989-01-24 "Real Oviedo"
"413" "Javi Hernández" "Lateral izquierdo" 250000 1998-05-02 "Real Oviedo"
"414" "Diegui" "Lateral derecho" 6e+05 1993-10-03 "Real Oviedo"
"415" "Carlos Martínez" "Lateral derecho" 5e+05 1986-04-09 "Real Oviedo"
"416" "Ramón Folch" "Medio centro" 8e+05 1989-10-04 "Real Oviedo"
"417" "Sergio Tejera" "Medio centro" 8e+05 1990-05-28 "Real Oviedo"
"418" "Javi Muñoz" "Medio centro" 3e+05 1995-02-28 "Real Oviedo"
"419" "Saúl Berjón" "Extremo izquierdo" 1e+06 1986-05-24 "Real Oviedo"
"420" "Yoel Bárcenas" "Extremo izquierdo" 5e+05 1993-10-23 "Real Oviedo"
"421" "Omar Ramos" "Extremo derecho" 1200000 1988-01-26 "Real Oviedo"
"422" "Joselu" "Delantero centro" 1e+06 1991-03-03 "Real Oviedo"
"423" "Toché" "Delantero centro" 5e+05 1983-01-01 "Real Oviedo"
"424" "Ibrahima Baldé" "Delantero centro" 4e+05 1989-04-04 "Real Oviedo"
"425" "Cristian Álvarez" "Portero" 6e+05 1985-11-13 "Real Zaragoza"
"426" "Álvaro Ratón" "Portero" 4e+05 1993-01-29 "Real Zaragoza"
"427" "Diogo Verdasca" "Defensa central" 7e+05 1996-10-26 "Real Zaragoza"
"428" "Alberto Guitián" "Defensa central" 7e+05 1990-07-29 "Real Zaragoza"
"429" "Álex Muñoz" "Defensa central" 7e+05 1994-07-30 "Real Zaragoza"
"430" "Simone Grippo" "Defensa central" 6e+05 1988-12-12 "Real Zaragoza"
"431" "Daniel Lasure" "Lateral izquierdo" 5e+05 1994-02-27 "Real Zaragoza"
"432" "Julián Delmás" "Lateral derecho" 8e+05 1995-04-20 "Real Zaragoza"
"433" "Alberto Benito" "Lateral derecho" 5e+05 1992-06-13 "Real Zaragoza"
"434" "Iñigo Eguaras" "Pivote" 8e+05 1992-03-07 "Real Zaragoza"
"435" "Alberto Zapater" "Pivote" 4e+05 1985-06-13 "Real Zaragoza"
"436" "Raúl Guti" "Medio centro" 7e+05 1996-12-30 "Real Zaragoza"
"437" "James Igbekeme" "Medio centro" 6e+05 1995-07-04 "Real Zaragoza"
"438" "Javi Ros" "Medio centro" 5e+05 1990-02-16 "Real Zaragoza"
"439" "Carlos Nieto" "Medio centro" 3e+05 1996-05-06 "Real Zaragoza"
"440" "Pep Biel" "Medio centro ofensivo" 3e+05 1996-09-05 "Real Zaragoza"
"441" "Alberto Soro" "Medio centro ofensivo" 3e+05 1999-03-09 "Real Zaragoza"
"442" "Diego Aguirre" "Extremo izquierdo" 4e+05 1990-10-17 "Real Zaragoza"
"443" "Giorgi Papunashvili" "Extremo derecho" 8e+05 1995-09-02 "Real Zaragoza"
"444" "Gaizka Toquero" "Extremo derecho" 3e+05 1984-08-09 "Real Zaragoza"
"445" "Marc Gual" "Delantero centro" 1500000 1996-03-13 "Real Zaragoza"
"446" "Álvaro Vázquez" "Delantero centro" 1e+06 1991-04-27 "Real Zaragoza"
"447" "Jorge Pombo" "Delantero centro" 5e+05 1994-02-22 "Real Zaragoza"
"448" "Jeison Medina" "Delantero centro" 3e+05 1995-02-27 "Real Zaragoza"
"449" "Rai Nascimento" "Delantero centro" 2e+05 1998-05-18 "Real Zaragoza"
"450" "Miguel Linares" "Delantero centro" 4e+05 1982-09-30 "Real Zaragoza"
"451" "Diego Mariño" "Portero" 1e+06 1990-05-09 "Sporting de Gijón"
"452" "Dani Martín" "Portero" 3e+05 1998-07-08 "Sporting de Gijón"
"453" "Mathieu Peybernes" "Defensa central" 9e+05 1990-10-21 "Sporting de Gijón"
"454" "Jean-Sylvain Babin" "Defensa central" 8e+05 1986-10-14 "Sporting de Gijón"
"455" "Álex Pérez" "Defensa central" 6e+05 1991-08-11 "Sporting de Gijón"
"456" "Juan Rodríguez" "Defensa central" 3e+05 1995-05-08 "Sporting de Gijón"
"457" "Roberto Canella" "Lateral izquierdo" 1200000 1988-02-07 "Sporting de Gijón"
"458" "Javi Noblejas" "Lateral izquierdo" 2e+05 1993-03-18 "Sporting de Gijón"
"459" "Francisco Molinero" "Lateral derecho" 6e+05 1985-07-26 "Sporting de Gijón"
"460" "André Geraldes" "Lateral derecho" 6e+05 1991-05-02 "Sporting de Gijón"
"461" "Robin Lod" "Medio centro" 2e+06 1993-04-17 "Sporting de Gijón"
"462" "Isaac Cofie" "Medio centro" 1e+06 1991-09-20 "Sporting de Gijón"
"463" "André Sousa" "Medio centro" 850000 1990-07-09 "Sporting de Gijón"
"464" "Hernán" "Medio centro" 7e+05 1990-08-26 "Sporting de Gijón"
"465" "Nacho Méndez" "Medio centro" 4e+05 1998-03-30 "Sporting de Gijón"
"466" "Cristian Salvador" "Medio centro" 3e+05 1994-11-20 "Sporting de Gijón"
"467" "Pablo Pérez" "Medio centro ofensivo" 6e+05 1993-08-02 "Sporting de Gijón"
"468" "Nick Blackman" "Extremo derecho" 2e+06 1989-11-11 "Sporting de Gijón"
"469" "Carlos Carmona" "Extremo derecho" 2e+06 1987-07-05 "Sporting de Gijón"
"470" "Álvaro Jiménez" "Extremo derecho" 9e+05 1995-05-19 "Sporting de Gijón"
"471" "Ismael Cerro" "Extremo derecho" 3e+05 1995-07-07 "Sporting de Gijón"
"472" "Álvaro Traver" "Extremo derecho" 2e+05 1993-04-01 "Sporting de Gijón"
"473" "Uros Djurdjevic" "Delantero centro" 3e+06 1994-03-02 "Sporting de Gijón"
"474" "Neftali Manzambi" "Delantero centro" 5e+05 1997-04-23 "Sporting de Gijón"
"475" "René" "Portero" 4e+05 1983-12-15 "UD Almería"
"476" "Fernando Martínez" "Portero" 3e+05 1990-06-10 "UD Almería"
"477" "Esteban Saveljich" "Defensa central" 6e+05 1991-05-20 "UD Almería"
"478" "Lucien Owona" "Defensa central" 5e+05 1990-08-09 "UD Almería"
"479" "Ángel Trujillo" "Defensa central" 5e+05 1987-09-08 "UD Almería"
"480" "Juan Fernández" "Defensa central" 2e+05 1995-08-17 "UD Almería"
"481" "Andoni López" "Lateral izquierdo" 6e+05 1996-04-05 "UD Almería"
"482" "Nano" "Lateral izquierdo" 4e+05 1984-10-27 "UD Almería"
"483" "Fran Rodríguez" "Lateral derecho" 6e+05 1995-05-22 "UD Almería"
"484" "José Romera" "Lateral derecho" 6e+05 1987-09-08 "UD Almería"
"485" "Adrián Montoro" "Lateral derecho" 6e+05 1995-01-04 "UD Almería"
"486" "Joaquín Arzura" "Pivote" 1200000 1993-05-18 "UD Almería"
"487" "Yan Brice" "Medio centro" 1e+06 1997-08-26 "UD Almería"
"488" "César de la Hoz" "Medio centro" 5e+05 1992-03-30 "UD Almería"
"489" "Sergio Aguza" "Medio centro" 5e+05 1992-09-02 "UD Almería"
"490" "David Rocha" "Medio centro" 3e+05 1985-02-07 "UD Almería"
"491" "Chema Núñez" "Medio centro ofensivo" 6e+05 1997-09-16 "UD Almería"
"492" "Juan Carlos" "Medio centro ofensivo" 6e+05 1991-03-15 "UD Almería"
"493" "José Corpas" "Interior derecho" 3e+05 1991-07-07 "UD Almería"
"494" "Gaspar Panadero" "Extremo izquierdo" 7e+05 1997-12-09 "UD Almería"
"495" "Juanjo Narváez" "Extremo izquierdo" 5e+05 1995-02-12 "UD Almería"
"496" "Luis Rioja" "Extremo izquierdo" 3e+05 1993-10-16 "UD Almería"
"497" "Ermedin Demirovic" "Delantero centro" 1e+06 1998-03-25 "UD Almería"
"498" "Pablo Caballero" "Delantero centro" 4e+05 1986-07-21 "UD Almería"
"499" "Álvaro Giménez" "Delantero centro" 4e+05 1991-05-19 "UD Almería"
"500" "Sekou Gassama" "Delantero centro" 2e+05 1995-05-06 "UD Almería"
"501" "Raúl Fernández" "Portero" 1e+06 1988-03-13 "UD Las Palmas"
"502" "Nauzet Pérez" "Portero" 6e+05 1985-03-01 "UD Las Palmas"
"503" "Juan Cala" "Defensa central" 1700000 1989-11-26 "UD Las Palmas"
"504" "Deivid" "Defensa central" 9e+05 1989-01-27 "UD Las Palmas"
"505" "Martín Mantovani" "Defensa central" 5e+05 1984-07-07 "UD Las Palmas"
"506" "Eric Curbelo" "Defensa central" 1e+05 1994-01-14 "UD Las Palmas"
"507" "David García" "Defensa central" 1e+05 1982-02-25 "UD Las Palmas"
"508" "Aythami Artiles" "Defensa central" 7e+05 1986-04-02 "UD Las Palmas"
"509" "Dani Castellano" "Lateral izquierdo" 2e+06 1987-11-02 "UD Las Palmas"
"510" "Alberto de la Bella" "Lateral izquierdo" 1200000 1985-12-02 "UD Las Palmas"
"511" "Álvaro Lemos" "Lateral derecho" 3e+05 1993-03-30 "UD Las Palmas"
"512" "David Timor" "Pivote" 2e+06 1989-10-17 "UD Las Palmas"
"513" "Javi Castellano" "Pivote" 8e+05 1987-11-02 "UD Las Palmas"
"514" "Iñigo Ruiz de Galarreta" "Medio centro" 8e+05 1993-08-06 "UD Las Palmas"
"515" "Gabriel Peñalba" "Medio centro" 8e+05 1984-09-23 "UD Las Palmas"
"516" "Tana" "Medio centro ofensivo" 2500000 1990-09-20 "UD Las Palmas"
"517" "Maikel Mesa" "Medio centro ofensivo" 6e+05 1991-05-03 "UD Las Palmas"
"518" "Fidel" "Extremo izquierdo" 9e+05 1989-10-27 "UD Las Palmas"
"519" "Danny Blum" "Extremo izquierdo" 7e+05 1991-01-07 "UD Las Palmas"
"520" "Momo" "Extremo izquierdo" 1e+05 1982-07-15 "UD Las Palmas"
"521" "Slavoljub Srnic" "Extremo derecho" 1750000 1992-01-12 "UD Las Palmas"
"522" "Rafa Mir" "Delantero centro" 5e+06 1997-06-18 "UD Las Palmas"
"523" "Sergio Araujo" "Delantero centro" 4e+06 1992-01-28 "UD Las Palmas"
"524" "Tomás Pekhart" "Delantero centro" 8e+05 1989-05-26 "UD Las Palmas"
"525" "Rubén Castro" "Delantero centro" 5e+05 1981-06-27 "UD Las Palmas"
